aX,aY,aZ,gX,gY,gZ
0.472,-0.620,0.462,-2.747,30.457,25.818
0.542,-0.660,0.491,-0.305,40.588,27.649
0.618,-0.663,0.457,-0.916,44.495,24.353
0.694,-0.660,0.485,0.854,46.326,18.677
0.716,-0.645,0.464,1.648,40.405,13.489
0.732,-0.671,0.459,1.709,32.654,10.193
0.722,-0.684,0.455,0.732,21.118,4.517
0.684,-0.665,0.441,-2.014,9.949,-0.977
0.630,-0.654,0.432,-4.150,3.723,-2.747
0.583,-0.661,0.418,-4.272,2.136,-0.610
0.554,-0.668,0.405,-3.479,3.967,2.747
0.547,-0.669,0.400,-3.174,8.972,6.104
0.539,-0.666,0.396,-3.845,16.235,10.254
-0.089,-0.576,-0.382,84.473,75.562,-118.591
-0.672,-0.181,-0.041,92.712,66.772,-73.853
-0.655,-0.731,0.072,90.820,73.425,-78.613
-0.391,-0.306,0.522,85.327,81.909,-127.930
-0.057,-0.409,0.443,52.795,108.704,-155.151
0.126,-0.461,0.278,-3.174,148.010,-129.395
0.280,-0.310,0.169,-48.096,137.390,-89.600
0.343,-0.160,-0.127,-65.979,84.412,-46.814
0.158,-0.164,-0.108,-48.279,5.981,3.540
-0.157,-0.080,0.233,-15.869,-62.195,52.612
-0.232,0.000,0.326,0.061,-88.013,82.581
-0.172,0.013,0.303,2.136,-87.158,99.365
-0.129,0.045,0.306,7.446,-86.853,115.356
-0.139,0.092,0.264,14.832,-84.412,132.141
-0.026,0.165,0.384,22.034,-78.491,147.034
0.041,0.173,0.368,21.362,-85.754,164.246
0.078,0.151,0.303,16.479,-100.037,178.467
0.149,0.178,0.336,14.709,-109.070,186.218
0.213,0.216,0.372,8.606,-116.760,191.833
0.267,0.284,0.381,0.122,-125.305,202.454
0.374,0.331,0.419,-7.019,-133.972,220.032
0.518,0.310,0.442,-20.874,-138.489,240.601
0.636,0.249,0.453,-30.884,-142.029,256.165
0.789,0.252,0.482,-31.128,-143.066,269.653
0.939,0.234,0.520,-30.884,-140.625,281.738
